"","species","Tissue","Assay","Dilutions","cutoff","auc","y"
"1","M","BR","NQ",-2,"24",0.877,0.25
"2","M","BR","NQ",-3,"24",1,0.25
"3","M","BR","NQ",-4,"24",1,0.25
"4","M","BR","NQ",-5,"24",0.833,0.25
"5","M","LN","NQ",-2,"24",0.729,0.25
"6","M","LN","NQ",-3,"24",0.715,0.25
"7","M","LN","NQ",-4,"24",0.7,0.25
"8","M","LN","NQ",-5,"24",0.639,0.25
"9","M","skin","NQ",-2,"24",0.819,0.25
"10","M","skin","NQ",-3,"24",0.788,0.25
"11","M","skin","NQ",-4,"24",0.847,0.25
"12","M","skin","NQ",-5,"24",0.861,0.25
"13","M","skin","NQ",-1.30102999566398,"24",0.826,0.25
"14","M","skin","NQ",-1.60205999132796,"24",0.862,0.25
