"","threshold","sensitivity","specificity","auc","youden"
"1",4.95625648553681,0.712121212121212,0.895161290322581,0.814455034213099,0.607282502443793
"2",4.96981596452328,0.704545454545455,0.895161290322581,0.814455034213099,0.599706744868035
"3",4.94488645053966,0.712121212121212,0.887096774193548,0.814455034213099,0.59921798631476
"4",5.05736415671568,0.696969696969697,0.895161290322581,0.814455034213099,0.592130987292278
"5",4.94094353718163,0.712121212121212,0.879032258064516,0.814455034213099,0.591153470185728
"6",4.73865742708656,0.71969696969697,0.870967741935484,0.814455034213099,0.590664711632454
"7",5.29436415671568,0.689393939393939,0.895161290322581,0.814455034213099,0.58455522971652
"8",4.88855783286839,0.712121212121212,0.870967741935484,0.814455034213099,0.583088954056696
"9",4.55400009887479,0.71969696969697,0.862903225806452,0.814455034213099,0.582600195503421
"10",5.76191871678822,0.674242424242424,0.903225806451613,0.814455034213099,0.577468230694037
"11",5.53421495498806,0.681818181818182,0.895161290322581,0.814455034213099,0.576979472140762
"12",4.38454478674715,0.71969696969697,0.854838709677419,0.814455034213099,0.574535679374389
"13",3.07198271229188,0.757575757575758,0.814516129032258,0.814455034213099,0.572091886608016
"14",6.1785369313715,0.651515151515151,0.919354838709677,0.814455034213099,0.570869990224829
"15",6.01180779039744,0.659090909090909,0.911290322580645,0.814455034213099,0.570381231671554
"16",5.82883916255673,0.666666666666667,0.903225806451613,0.814455034213099,0.56989247311828
"17",5.67459403995538,0.674242424242424,0.895161290322581,0.814455034213099,0.569403714565005
"18",4.29915171434353,0.71969696969697,0.846774193548387,0.814455034213099,0.566471163245357
"19",3.12952408746354,0.75,0.814516129032258,0.814455034213099,0.564516129032258
"20",3.0191327379583,0.757575757575758,0.806451612903226,0.814455034213099,0.564027370478983
"21",6.22372140248086,0.643939393939394,0.919354838709677,0.814455034213099,0.563294232649071
"22",6.11668054045773,0.651515151515151,0.911290322580645,0.814455034213099,0.562805474095797
"23",5.90497693982945,0.659090909090909,0.903225806451613,0.814455034213099,0.562316715542522
"24",2.59123153501163,0.810606060606061,0.75,0.814455034213099,0.560606060606061
"25",4.19668818250902,0.71969696969697,0.838709677419355,0.814455034213099,0.558406647116325
"26",3.91775035276283,0.727272727272727,0.830645161290323,0.814455034213099,0.55791788856305
"27",3.16283713563241,0.742424242424242,0.814516129032258,0.814455034213099,0.556940371456501
"28",2.98941067940584,0.757575757575758,0.798387096774194,0.814455034213099,0.555962854349951
"29",6.26760255479158,0.636363636363636,0.919354838709677,0.814455034213099,0.555718475073314
"30",2.59796828006647,0.803030303030303,0.75,0.814455034213099,0.553030303030303
"31",2.58879569260696,0.810606060606061,0.741935483870968,0.814455034213099,0.552541544477028
"32",2.57376222706742,0.818181818181818,0.733870967741935,0.814455034213099,0.552052785923754
"33",2.56446261755884,0.825757575757576,0.725806451612903,0.814455034213099,0.551564027370479
"34",4.07304660668403,0.71969696969697,0.830645161290323,0.814455034213099,0.550342130987292
"35",3.57581951382504,0.727272727272727,0.82258064516129,0.814455034213099,0.549853372434018
"36",3.21529205961912,0.734848484848485,0.814516129032258,0.814455034213099,0.549364613880743
"37",6.31341614346835,0.628787878787879,0.919354838709677,0.814455034213099,0.548142717497556
"38",2.96496442313284,0.757575757575758,0.790322580645161,0.814455034213099,0.547898338220919
"39",2.60848976961663,0.795454545454545,0.75,0.814455034213099,0.545454545454545
"40",2.58295328029843,0.810606060606061,0.733870967741935,0.814455034213099,0.544477028347996
"41",2.56810038019754,0.818181818181818,0.725806451612903,0.814455034213099,0.543988269794721
"42",2.56150414181839,0.825757575757576,0.717741935483871,0.814455034213099,0.543499511241447
"43",3.31681401976693,0.727272727272727,0.814516129032258,0.814455034213099,0.541788856304986
"44",6.39853296804471,0.621212121212121,0.919354838709677,0.814455034213099,0.540566959921799
"45",2.92297903336499,0.757575757575758,0.782258064516129,0.814455034213099,0.539833822091887
"46",2.62211125070883,0.787878787878788,0.75,0.814455034213099,0.537878787878788
"47",2.55202550796928,0.825757575757576,0.709677419354839,0.814455034213099,0.535434995112415
"48",6.50840653485474,0.613636363636364,0.919354838709677,0.814455034213099,0.532991202346041
"49",2.83783748592113,0.757575757575758,0.774193548387097,0.814455034213099,0.531769305962854
"50",2.65533896329099,0.772727272727273,0.758064516129032,0.814455034213099,0.530791788856305
"51",2.63069082304882,0.78030303030303,0.75,0.814455034213099,0.53030303030303
"52",2.53881010952084,0.825757575757576,0.701612903225806,0.814455034213099,0.527370478983382
"53",6.65314648129004,0.606060606060606,0.919354838709677,0.814455034213099,0.525415444770283
"54",2.7423741022835,0.757575757575758,0.766129032258065,0.814455034213099,0.523704789833822
"55",2.66930795228713,0.765151515151515,0.758064516129032,0.814455034213099,0.523216031280547
"56",2.64196996244669,0.772727272727273,0.75,0.814455034213099,0.522727272727273
"57",2.53415782041082,0.825757575757576,0.693548387096774,0.814455034213099,0.51930596285435
"58",6.85850763772805,0.590909090909091,0.92741935483871,0.814455034213099,0.518328445747801
"59",6.78156783279486,0.598484848484849,0.919354838709677,0.814455034213099,0.517839687194526
"60",2.69675030781536,0.757575757575758,0.758064516129032,0.814455034213099,0.51564027370479
"61",2.5334913340538,0.825757575757576,0.685483870967742,0.814455034213099,0.511241446725318
"62",6.9369522517686,0.583333333333333,0.92741935483871,0.814455034213099,0.510752688172043
"63",6.82313239345324,0.590909090909091,0.919354838709677,0.814455034213099,0.510263929618768
"64",2.53072551414785,0.825757575757576,0.67741935483871,0.814455034213099,0.503176930596285
"65",7.04628767182628,0.575757575757576,0.92741935483871,0.814455034213099,0.503176930596285
"66",7.19019932547337,0.568181818181818,0.92741935483871,0.814455034213099,0.495601173020528
"67",2.52662109307449,0.825757575757576,0.669354838709677,0.814455034213099,0.495112414467253
"68",7.49580905445465,0.553030303030303,0.935483870967742,0.814455034213099,0.488514173998045
"69",7.28237172565307,0.560606060606061,0.92741935483871,0.814455034213099,0.48802541544477
"70",2.52391491275529,0.825757575757576,0.661290322580645,0.814455034213099,0.487047898338221
"71",2.51848320859108,0.833333333333333,0.653225806451613,0.814455034213099,0.486559139784946
"72",7.58579853727659,0.545454545454545,0.935483870967742,0.814455034213099,0.480938416422287
"73",7.35801540746974,0.553030303030303,0.92741935483871,0.814455034213099,0.480449657869013
"74",2.52285397130942,0.825757575757576,0.653225806451613,0.814455034213099,0.478983382209189
"75",2.51105383316462,0.833333333333333,0.645161290322581,0.814455034213099,0.478494623655914
"76",2.49928337841753,0.840909090909091,0.637096774193548,0.814455034213099,0.478005865102639
"77",7.63469178552115,0.537878787878788,0.935483870967742,0.814455034213099,0.47336265884653
"78",2.50399538390896,0.833333333333333,0.637096774193548,0.814455034213099,0.470430107526882
"79",2.49668829677431,0.840909090909091,0.629032258064516,0.814455034213099,0.469941348973607
"80",7.67064292966075,0.53030303030303,0.935483870967742,0.814455034213099,0.465786901270772
"81",2.49420142412291,0.840909090909091,0.620967741935484,0.814455034213099,0.461876832844575
"82",7.77151360544218,0.515151515151515,0.943548387096774,0.814455034213099,0.458699902248289
"83",7.68294512796959,0.522727272727273,0.935483870967742,0.814455034213099,0.458211143695014
"84",2.49248615154693,0.840909090909091,0.612903225806452,0.814455034213099,0.453812316715543
"85",7.82825779608983,0.507575757575758,0.943548387096774,0.814455034213099,0.451124144672532
"86",7.71106223408091,0.515151515151515,0.935483870967742,0.814455034213099,0.450635386119257
"87",2.48630518572861,0.840909090909091,0.604838709677419,0.814455034213099,0.44574780058651
"88",7.86041853294217,0.5,0.943548387096774,0.814455034213099,0.443548387096774
"89",2.47983783603052,0.840909090909091,0.596774193548387,0.814455034213099,0.437683284457478
"90",7.89402773119252,0.492424242424242,0.943548387096774,0.814455034213099,0.435972629521017
"91",2.47701032567339,0.840909090909091,0.588709677419355,0.814455034213099,0.429618768328446
"92",7.92522588964666,0.484848484848485,0.943548387096774,0.814455034213099,0.428396871945259
"93",2.47065207007669,0.840909090909091,0.580645161290323,0.814455034213099,0.421554252199414
"94",7.95200493328946,0.477272727272727,0.943548387096774,0.814455034213099,0.420821114369502
"95",2.46105036966207,0.840909090909091,0.57258064516129,0.814455034213099,0.413489736070381
"96",8.01574208875185,0.46969696969697,0.943548387096774,0.814455034213099,0.413245356793744
