"species","elisa","animal","tissue","Nano-QuIC_-2","Nano-QuIC_-3","Nano-QuIC_-4","Nano-QuIC_-5","Nano-QuIC_-6","Nano-QuIC_-7","Nano-QuIC_-8","Nano-QuIC_-9","Nano-QuIC_-10","Nano-QuIC_-11","Nano-QuIC_-1.3","Nano-QuIC_-1.6","Nano-QuIC_-1.78","Nano-QuIC_-1.7","RT-QuIC_-2","RT-QuIC_-3","RT-QuIC_-4","RT-QuIC_-5","RT-QuIC_-6","RT-QuIC_-7","RT-QuIC_-8","RT-QuIC_-9","RT-QuIC_-10","RT-QuIC_-11","RT-QuIC_-1.3","RT-QuIC_-1.6","RT-QuIC_-1.78","RT-QuIC_-1.7"
"Reindeer",TRUE,"R10","Lymph Node",100,100,100,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,100,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reindeer",TRUE,"R10","Skin",0,0,0,0,0,NA,NA,NA,NA,NA,16.6666666666667,16.6666666666667,8.33333333333333,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,8.33333333333333,8.33333333333333,NA
"Reindeer",TRUE,"R11","Brainstem",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reindeer",TRUE,"R11","Lymph Node",100,100,25,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reindeer",TRUE,"R11","Skin",10.7142857142857,3.57142857142857,0,0,0,0,0,0,0,0,0,0,0,NA,3.57142857142857,0,0,0,0,0,0,0,0,0,0,33.3333333333333,8.33333333333333,NA
"Reindeer",TRUE,"R16","Brainstem",100,100,100,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,50,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reindeer",TRUE,"R16","Lymph Node",100,100,50,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,50,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reindeer",TRUE,"R18","Brainstem",0,100,0,0,0,0,0,NA,25,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Reindeer",TRUE,"R21","Brainstem",100,100,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reindeer",TRUE,"R21","Lymph Node",100,100,75,37.5,0,0,0,0,0,0,NA,NA,NA,NA,62.5,100,87.5,50,0,0,0,0,0,0,NA,NA,NA,NA
"Reindeer",TRUE,"R7","Skin",0,0,0,0,0,NA,NA,NA,NA,NA,8.33333333333333,16.6666666666667,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA
"Reindeer",TRUE,"R9","Brainstem",0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,50,0,0,0,0,0,0,0,0,NA,NA,NA,NA
